Datum,Start,Einde,Plaats,Omschrijving,Issue #,Opmerkingen
13/04/19,21:00,23:00,Extern, testen loskoppelen python - node red - enkel node red die broker gebruikt - geen resultaten pfff - bekijken hiveMQ,,
14/04/19,15:00,17:15,Extern, wat minidingetjes aan de front end aanpassen voor sommige dingen wat mooier te maken - flow aangepast,,
15/04/19,19:00,23:30,Extern, lekker vloeken op dat ding met droneconfiguratie dat aan load chain van simulator moest worden toegevoegd,,
16/04/19,20:00,22:00,Extern, bekijken html van componenten - zien wat er geimplementeerd is van knoppen - lokaal node red wijzigen voor status bijhouden,,
17/04/19,11:30,13:15,Extern, standup over discord - even project bekijken nog,,
18/04/19,17:00,22:00,Extern, volledig implementeren knoppen vanboven - de frontend en backend - veel geschrapt en aangepast steeds voor optimalisatie,,
19/04/19,17:30,20:00,Extern, lokaal dingen fixen maar ben vergeten wat oeps (moet leren logboek elke keer up te daten) - applicatie testen op minder lagg,,
20/04/19,16:00,21:00,Extern, bugs weghalen en meer status toevoegen - na zoveel uur eindelijk alle bugs gevonden (dacht ik toch) dankzij keiveel loggen van dingen,,
21/04/19,18:00,19:30,Extern, klein beetje geprutst nog aan mockup drone om heb bij mij te laten werken maar geen resultaat - niks werd gelogd naar de frontend,,
22/04/19,10:00,12:00,Extern, mogelijke bugs overlopen die nog moeten worden gefixt - zelf geen fixes gevonden maar heb me ook niet echt 100% kunnen concentreren door drukte,,
22/04/19,20:00,21:30,Extern, node mockup snel wat aan werken + testen status  - bug gevonden in flow en gefixt,, 
